oracle_calls,seed,top1,top10,top100
2400,1,0.6256582,0.5940214,0.5355739
2500,1,0.6267287,0.5978577,0.5390675
2600,1,0.6279756,0.5997107,0.5413899
2700,1,0.6279756,0.6007058,0.5434503
2800,1,0.6289192,0.6025476,0.5461545
2900,1,0.6302533,0.6034697,0.548111
3000,1,0.6315203,0.6049493,0.5504989
3100,1,0.6365598,0.6076567,0.5523248
3200,1,0.6365655,0.6084992,0.553838
3300,1,0.6365655,0.6087375,0.5554384
3400,1,0.6365655,0.6098844,0.5575765
3500,1,0.6370072,0.61054,0.5588395
3600,1,0.6372481,0.6114171,0.5607006
3700,1,0.6372481,0.6116332,0.562067
3800,1,0.6388595,0.6127411,0.5631296
3900,1,0.638947,0.6129875,0.5643708
4000,1,0.6397384,0.6139588,0.5653592
4100,1,0.6397561,0.6147693,0.566632
4200,1,0.640352,0.6165035,0.5681804
4300,1,0.6431073,0.6178851,0.5689861
4400,1,0.6431073,0.618228,0.5701019
4500,1,0.6437995,0.6201297,0.5714961
4600,1,0.6457451,0.6215225,0.5731797
4700,1,0.6457946,0.6220265,0.5743372
4800,1,0.6457946,0.6226294,0.5754101
4900,1,0.6457946,0.6242796,0.5770729
5000,1,0.645805,0.625736,0.5785078
5100,1,0.645805,0.6266217,0.5795381
5200,1,0.6496453,0.6276299,0.5812391
5300,1,0.6511052,0.6295754,0.5828093
5400,1,0.6516053,0.6316712,0.5844302
5500,1,0.6569257,0.6339076,0.5865099
5600,1,0.6570663,0.6347501,0.5881791
5700,1,0.6594894,0.6365844,0.5901635
5800,1,0.6603282,0.6387225,0.591819
5900,1,0.6603282,0.639779,0.5933494
6000,1,0.6609547,0.6409111,0.5949468
6100,1,0.6609548,0.6418181,0.5960151
6200,1,0.6609548,0.6432026,0.5973448
6300,1,0.661264,0.6436043,0.5982606
6400,1,0.6614543,0.6440119,0.599076
6500,1,0.6614543,0.644862,0.6002167
6600,1,0.6614716,0.6451823,0.6013454
6700,1,0.6615226,0.6458102,0.602195
6800,1,0.6619549,0.6461909,0.6030286
6900,1,0.6620633,0.6467728,0.6042401
7000,1,0.6623647,0.6471885,0.6050687
7100,1,0.6630771,0.6475885,0.6059996
7200,1,0.6630771,0.6479051,0.6066658
7300,1,0.6637485,0.6486267,0.6079099
7400,1,0.6637485,0.6495047,0.6090154
7500,1,0.6641659,0.6500973,0.6099251
7600,1,0.6641659,0.6504729,0.6107514
7700,1,0.6641659,0.6506767,0.6114976
7800,1,0.6641659,0.6514012,0.6124689
7900,1,0.6646204,0.651682,0.6130205
8000,1,0.6646502,0.6520036,0.6136559
8100,1,0.6646502,0.652202,0.6141845
8200,1,0.6646502,0.6523023,0.6149201
8300,1,0.6646502,0.6524003,0.6154595
8400,1,0.6649618,0.6527649,0.6161948
8500,1,0.6650322,0.6528901,0.6168809
8600,1,0.6660964,0.6533393,0.6174912
8700,1,0.6661903,0.6536085,0.6180833
8800,1,0.6661903,0.6541386,0.6188337
8900,1,0.6661903,0.6542449,0.619239
9000,1,0.6661903,0.6543617,0.6195591
9100,1,0.6703298,0.6552868,0.6202192
9200,1,0.6708755,0.6556203,0.6205979
9300,1,0.6711156,0.6562613,0.6211943
9400,1,0.6737128,0.6571329,0.6218537
9500,1,0.6737128,0.6576106,0.6224468
9600,1,0.6737128,0.6579114,0.6229393
9700,1,0.6737936,0.6584299,0.6235189
9800,1,0.6743726,0.6585776,0.6242417
9900,1,0.6743726,0.6587528,0.6247518
10000,1,0.6743726,0.6590955,0.6252591
100,2,0.41292,0.3099134,0.1525017
200,2,0.4962798,0.4190424,0.264742
300,2,0.5393813,0.4676369,0.3244887
400,2,0.5482261,0.4957992,0.3643358
500,2,0.5607404,0.5146181,0.3927
600,2,0.5684904,0.5267931,0.4173585
700,2,0.5790951,0.5390383,0.4362722
800,2,0.582994,0.5473006,0.450725
900,2,0.5914927,0.5547417,0.4631798
1000,2,0.5953373,0.5605305,0.474015
1100,2,0.5964719,0.5638144,0.481777
1200,2,0.5998211,0.5684313,0.4897906
1300,2,0.6034757,0.5720554,0.496442
1400,2,0.6046307,0.5761648,0.5038739
1500,2,0.6055397,0.5787157,0.5104145
1600,2,0.6069592,0.5824676,0.5163611
1700,2,0.6123582,0.5866537,0.5211983
1800,2,0.6139323,0.5898161,0.52595
1900,2,0.615986,0.5919582,0.5300828
2000,2,0.6161719,0.5943551,0.5344107
2100,2,0.617072,0.5958388,0.5376531
2200,2,0.617072,0.5962164,0.53993
2300,2,0.6231757,0.5979809,0.5425495
2400,2,0.6256829,0.5995972,0.5447844
2500,2,0.6280246,0.6023386,0.5472046
2600,2,0.6286379,0.6041831,0.5497355
2700,2,0.6343931,0.6076596,0.5524672
2800,2,0.6343931,0.6086827,0.5543838
2900,2,0.634498,0.6100452,0.5570069
3000,2,0.6380856,0.6128824,0.5594072
3100,2,0.6385401,0.6149289,0.5611143
3200,2,0.6386999,0.6156602,0.5628943
3300,2,0.6386999,0.6165736,0.5648884
3400,2,0.63907,0.6170534,0.566267
3500,2,0.6395334,0.6180861,0.5681824
3600,2,0.6433771,0.6194375,0.5698341
3700,2,0.6439613,0.6217243,0.5717556
3800,2,0.6451952,0.6232319,0.573454
3900,2,0.6456182,0.6245087,0.5752266
4000,2,0.6456182,0.6259731,0.5770942
4100,2,0.6457068,0.6265312,0.5785474
4200,2,0.6457875,0.6272793,0.5800118
4300,2,0.6457875,0.627859,0.5816709
4400,2,0.6457875,0.6287064,0.5828879
4500,2,0.6475171,0.629594,0.5846904
4600,2,0.6475171,0.6300552,0.5863135
4700,2,0.6475293,0.6304381,0.5875441
4800,2,0.6475293,0.6311343,0.5887349
4900,2,0.6475293,0.6318598,0.5898702
5000,2,0.6475293,0.6320574,0.5909125
5100,2,0.6475313,0.6322149,0.5917267
5200,2,0.6475429,0.6330797,0.5931172
5300,2,0.6475429,0.6332028,0.5941318
5400,2,0.6480891,0.6338346,0.5953103
5500,2,0.6483508,0.6344473,0.5964058
5600,2,0.6483508,0.6344628,0.5974134
5700,2,0.6486232,0.6347692,0.5981871
5800,2,0.649774,0.6356378,0.5989696
5900,2,0.649778,0.636485,0.6000196
6000,2,0.649778,0.6370913,0.6006993
6100,2,0.6498371,0.6372634,0.601665
6200,2,0.6529389,0.6384423,0.6026314
6300,2,0.6545529,0.6401808,0.6040255
6400,2,0.6545529,0.6406803,0.6048769
6500,2,0.6545529,0.6408426,0.6055184
6600,2,0.6584452,0.6419299,0.6062833
6700,2,0.6615255,0.6435185,0.6072747
6800,2,0.6675114,0.6443165,0.608158
6900,2,0.6675114,0.6448586,0.6087929
7000,2,0.6676278,0.645261,0.6096222
7100,2,0.6677561,0.6460038,0.6100996
7200,2,0.6677561,0.6462806,0.610775
7300,2,0.6679338,0.6465159,0.6113231
7400,2,0.6679338,0.6465728,0.6118695
7500,2,0.6679338,0.6472551,0.612849
7600,2,0.6679338,0.6476218,0.6134861
7700,2,0.6679338,0.6479059,0.6142567
7800,2,0.6679338,0.6486612,0.6149375
7900,2,0.6679338,0.648763,0.6153812
8000,2,0.6679653,0.6489765,0.6161543
8100,2,0.6680935,0.6498187,0.6167982
8200,2,0.6681193,0.6499638,0.6172292
8300,2,0.6681193,0.6499943,0.6179481
8400,2,0.6711422,0.6506266,0.6186099
8500,2,0.6711422,0.6520079,0.6194574
8600,2,0.6728517,0.653666,0.6202717
8700,2,0.6728517,0.654307,0.6209829
8800,2,0.6742865,0.6551494,0.6216389
8900,2,0.6799485,0.6565275,0.6225625
9000,2,0.6799485,0.6567506,0.623087
9100,2,0.6800552,0.6568393,0.6236416
9200,2,0.6803295,0.6571809,0.6241674
9300,2,0.6830188,0.6585624,0.6249356
9400,2,0.6830188,0.6591645,0.6256239
9500,2,0.6830188,0.6597775,0.6261881
9600,2,0.6830188,0.659889,0.6267152
9700,2,0.6830188,0.6601641,0.6271972
9800,2,0.6834733,0.6607519,0.6277259
9900,2,0.6834733,0.6610401,0.6282302
10000,2,0.6835082,0.6614486,0.628935
100,3,0.3915058,0.310335,0.1520366
200,3,0.5066954,0.4245251,0.2720695
300,3,0.5368711,0.4667783,0.3266447
400,3,0.5548065,0.4955318,0.3644576
500,3,0.5646479,0.5091672,0.3895241
600,3,0.5664996,0.5228662,0.4101086
700,3,0.5722759,0.531841,0.4294408
800,3,0.5744825,0.5370916,0.4429868
900,3,0.5746971,0.5429504,0.4540059
1000,3,0.581034,0.5487877,0.4642916
1100,3,0.5888894,0.5550937,0.4742728
1200,3,0.591883,0.560965,0.4828161
1300,3,0.596581,0.5651293,0.4902339
1400,3,0.5967738,0.567919,0.4976309
1500,3,0.5992855,0.5731001,0.5038013
1600,3,0.5999596,0.5764373,0.5088398
1700,3,0.6009891,0.578359,0.5133056
1800,3,0.6049475,0.5816153,0.5171727
1900,3,0.6054975,0.5837034,0.5208283
2000,3,0.6071767,0.5855246,0.5237467
2100,3,0.6071767,0.5858891,0.5259241
2200,3,0.6074375,0.5866324,0.5279026
2300,3,0.6074393,0.5880009,0.530414
2400,3,0.6078058,0.5894747,0.5326288
2500,3,0.6094699,0.5918755,0.5354762
2600,3,0.6137382,0.5940902,0.5380436
2700,3,0.6138388,0.5961198,0.5407687
2800,3,0.6169946,0.5979376,0.5425625
2900,3,0.6181299,0.5986523,0.5446451
3000,3,0.6187065,0.6002603,0.5469236
3100,3,0.6221878,0.6023144,0.5494675
3200,3,0.6223599,0.6037379,0.5516779
3300,3,0.6276124,0.6066565,0.5540777
3400,3,0.6276177,0.6074874,0.555879
3500,3,0.6276177,0.6084698,0.557481
3600,3,0.6276177,0.6092746,0.5588335
3700,3,0.628848,0.6100689,0.5601761
3800,3,0.6300043,0.6105745,0.5617222
3900,3,0.6309134,0.6114435,0.5631893
4000,3,0.6313947,0.613881,0.5652591
4100,3,0.6318206,0.6143685,0.5663293
4200,3,0.6318206,0.6148382,0.5678016
4300,3,0.6320713,0.615538,0.5692785
4400,3,0.6344929,0.6170618,0.5707021
4500,3,0.6344929,0.6176392,0.5721296
4600,3,0.6369052,0.6186147,0.5731911
4700,3,0.6369052,0.6194943,0.5740471
4800,3,0.6369052,0.6199509,0.5749764
4900,3,0.6383884,0.6210825,0.576354
5000,3,0.6384511,0.6227012,0.5778274
5100,3,0.642358,0.6254433,0.5790269
5200,3,0.6429056,0.6267413,0.5801718
5300,3,0.6453961,0.6274674,0.5809841
5400,3,0.6460778,0.628494,0.5820612
5500,3,0.6460778,0.629153,0.5831779
5600,3,0.6460778,0.6296464,0.5840381
5700,3,0.648515,0.6311811,0.5851874
5800,3,0.648515,0.6317607,0.5860974
5900,3,0.648515,0.6324004,0.587159
6000,3,0.6496747,0.6331326,0.588141
6100,3,0.6528565,0.6340911,0.5891455
6200,3,0.6528565,0.634838,0.5900424
6300,3,0.6528565,0.6362832,0.5915117
6400,3,0.6528565,0.6366899,0.5924134
6500,3,0.6544047,0.6376031,0.5935021
6600,3,0.6556197,0.6382305,0.5944563
6700,3,0.6599562,0.6390981,0.5957362
6800,3,0.6600532,0.639488,0.5966054
6900,3,0.6607078,0.6402808,0.5975442
7000,3,0.6638953,0.6415017,0.5982061
7100,3,0.6638953,0.6422889,0.5991365
7200,3,0.6638953,0.6426747,0.5998628
7300,3,0.6639701,0.6435191,0.6010869
7400,3,0.664465,0.644359,0.6020983
7500,3,0.6649289,0.6453958,0.6033559
7600,3,0.6651537,0.6457839,0.6040602
7700,3,0.6653038,0.6468688,0.6050607
7800,3,0.6653039,0.6472101,0.6058735
7900,3,0.6655262,0.6474976,0.6063941
8000,3,0.6717625,0.648933,0.6078837
8100,3,0.6717625,0.6495516,0.6088236
8200,3,0.6717625,0.6497786,0.6094377
8300,3,0.6717625,0.6502182,0.6099702
8400,3,0.6738147,0.6508921,0.61066
8500,3,0.6738147,0.6510285,0.6111108
8600,3,0.6743485,0.6513054,0.6118349
8700,3,0.6743485,0.6518855,0.6125576
8800,3,0.6779647,0.653261,0.6131894
8900,3,0.6779647,0.6535038,0.6136643
9000,3,0.6779647,0.654063,0.614242
9100,3,0.6779647,0.6546534,0.6148305
9200,3,0.6779647,0.6548811,0.6154064
9300,3,0.6782267,0.6559237,0.6161191
9400,3,0.6782267,0.6561386,0.6165616
9500,3,0.6782267,0.6566133,0.6170091
9600,3,0.6782267,0.6574727,0.6179476
9700,3,0.6782267,0.6580779,0.6188156
9800,3,0.6782267,0.6585867,0.6193491
9900,3,0.6782267,0.6593345,0.6198917
10000,3,0.6789959,0.6597787,0.6204234
100,4,0.390813,0.3142579,0.1557293
200,4,0.5007447,0.4332709,0.2720804
300,4,0.5238663,0.4766977,0.3348028
400,4,0.5377485,0.4950054,0.3748427
500,4,0.5412327,0.5059429,0.3993879
600,4,0.5448306,0.5121072,0.4159691
700,4,0.5538853,0.5213562,0.4317573
800,4,0.5582238,0.5275672,0.4427609
900,4,0.5609648,0.533314,0.4529839
1000,4,0.5665335,0.5389177,0.461485
1100,4,0.574808,0.5446274,0.4688921
1200,4,0.5775022,0.5486421,0.4752781
1300,4,0.581173,0.5525539,0.4804268
1400,4,0.5828107,0.5562949,0.485795
1500,4,0.5848395,0.5578645,0.4906121
1600,4,0.5875668,0.5627369,0.495937
1700,4,0.6037634,0.576544,0.5023109
1800,4,0.6042041,0.5795402,0.507421
1900,4,0.6048475,0.5826159,0.514979
2000,4,0.60908,0.5861897,0.5213631
2100,4,0.6134056,0.5896475,0.5262605
2200,4,0.6140276,0.5907858,0.5299517
2300,4,0.6150023,0.5923789,0.5341549
2400,4,0.6182299,0.5947896,0.5378682
2500,4,0.6209091,0.5965882,0.5410841
2600,4,0.6216106,0.5976575,0.5434254
2700,4,0.6216106,0.5991536,0.5457472
2800,4,0.6219099,0.5999596,0.5477531
2900,4,0.6314852,0.6070039,0.5508867
3000,4,0.6348455,0.6141651,0.5561919
3100,4,0.6359022,0.615826,0.5613627
3200,4,0.6385049,0.6181939,0.5650935
3300,4,0.6386753,0.6193574,0.567922
3400,4,0.6430967,0.6209529,0.570183
3500,4,0.6435265,0.6223259,0.5727803
3600,4,0.6435284,0.6230678,0.574425
3700,4,0.6461956,0.6250262,0.5766338
3800,4,0.6464821,0.6260863,0.5785094
3900,4,0.6470693,0.6266654,0.5796594
4000,4,0.648453,0.6285943,0.5814078
4100,4,0.6485123,0.6295052,0.5828789
4200,4,0.6499398,0.6306351,0.5844702
4300,4,0.6499398,0.6316436,0.5861968
4400,4,0.651955,0.6331666,0.5878739
4500,4,0.6557885,0.6348136,0.589509
4600,4,0.6557885,0.6359955,0.5912173
4700,4,0.6568619,0.6368519,0.5924339
4800,4,0.6572054,0.6381076,0.5937658
4900,4,0.6587756,0.6389292,0.5949317
5000,4,0.6602852,0.6402998,0.5964512
5100,4,0.6612839,0.640647,0.5975973
5200,4,0.6612839,0.641255,0.5987093
5300,4,0.6626183,0.6420059,0.5997142
5400,4,0.6640745,0.6427093,0.6008964
5500,4,0.6644261,0.6437451,0.6021463
5600,4,0.6644261,0.6442913,0.6031191
5700,4,0.6644261,0.6448152,0.604142
5800,4,0.6697732,0.6462023,0.6052168
5900,4,0.6697732,0.6466917,0.60628
6000,4,0.6697732,0.6473102,0.6075938
6100,4,0.6704945,0.6477886,0.6084529
6200,4,0.6704945,0.6483589,0.609545
6300,4,0.6704945,0.6485903,0.6100871
6400,4,0.6705494,0.648859,0.6109987
6500,4,0.6705529,0.6491506,0.6117301
6600,4,0.6705529,0.649266,0.6123061
6700,4,0.6715559,0.6500345,0.6130254
6800,4,0.6721401,0.6508308,0.6140814
6900,4,0.6739485,0.6516341,0.6150622
7000,4,0.6739485,0.652059,0.6160341
7100,4,0.6764955,0.6534739,0.6171894
7200,4,0.6770918,0.6543077,0.6179231
7300,4,0.6778977,0.6550214,0.6186542
7400,4,0.6778977,0.6557069,0.6194632
7500,4,0.6778977,0.6559269,0.6200655
7600,4,0.6778977,0.6561796,0.6206246
7700,4,0.6778977,0.6564964,0.6211933
7800,4,0.6778977,0.6566232,0.6216642
7900,4,0.6778977,0.6567992,0.6220521
8000,4,0.6788068,0.6569998,0.6225937
8100,4,0.6788068,0.6573099,0.6231978
8200,4,0.6789853,0.657415,0.6236177
8300,4,0.6791724,0.6577567,0.6239996
8400,4,0.6791724,0.6578476,0.6242982
8500,4,0.6791724,0.6579414,0.6248836
8600,4,0.6791724,0.6581865,0.6253254
8700,4,0.6791724,0.6583981,0.6259138
8800,4,0.6791724,0.6586016,0.6263793
8900,4,0.6871528,0.6598213,0.6268225
9000,4,0.6871528,0.6598571,0.6271022
9100,4,0.6871528,0.6599052,0.6274446
9200,4,0.6871528,0.659968,0.6277679
9300,4,0.6871528,0.6602507,0.6281231
9400,4,0.6871528,0.6603507,0.6284046
9500,4,0.6871528,0.6607209,0.6288502
9600,4,0.6871528,0.6608212,0.6293212
9700,4,0.6871528,0.6609831,0.6296796
9800,4,0.6871528,0.6610437,0.6299241
9900,4,0.6871528,0.6610437,0.630195
10000,4,0.6872682,0.6617498,0.6307622
