receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-11.97,0.12,0.448,0.019
ALDH1,-11.82,0.04,0.395,0.006
ESR_ago,-11.58,0.07,0.391,0.005
ESR_ant,-11.23,0.08,0.398,0.016
FEN1,-7.79,0.01,0.252,0.005
GBA,-9.90,0.14,0.340,0.018
IDH1,-11.28,0.15,0.388,0.007
KAT2A,-10.17,0.37,0.340,0.016
MAPK1,-9.61,0.11,0.322,0.009
MTORC1,-11.91,0.01,0.387,0.008
OPRK1,-11.26,0.41,0.389,0.006
PKM2,-13.36,0.03,0.444,0.010
PPARG,-10.00,0.04,0.321,0.005
TP53,-8.41,0.17,0.294,0.006
VDR,-12.98,0.10,0.416,0.009
