receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-11.45,0.05,0.412,0.005
ALDH1,-11.26,0.07,0.396,0.005
ESR_ago,-11.15,0.02,0.375,0.002
ESR_ant,-10.77,0.04,0.380,0.004
FEN1,-7.66,0.02,0.246,0.001
GBA,-9.62,0.04,0.327,0.004
IDH1,-10.95,0.05,0.378,0.001
KAT2A,-9.73,0.03,0.330,0.001
MAPK1,-9.30,0.01,0.313,0.001
MTORC1,-11.39,0.09,0.370,0.001
OPRK1,-10.84,0.03,0.369,0.007
PKM2,-12.53,0.02,0.436,0.005
PPARG,-9.73,0.02,0.319,0.002
TP53,-8.09,0.06,0.289,0.003
VDR,-12.30,0.07,0.405,0.002
