receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-9.95,0.04,0.412,0.006
ALDH1,-10.06,0.14,0.401,0.008
ESR_ago,-9.97,0.03,0.380,0.001
ESR_ant,-9.92,0.05,0.387,0.003
FEN1,-6.84,0.07,0.257,0.003
GBA,-8.70,0.05,0.336,0.002
IDH1,-9.84,0.09,0.382,0.005
KAT2A,-8.54,0.06,0.332,0.003
MAPK1,-8.49,0.07,0.320,0.002
MTORC1,-10.07,0.16,0.385,0.004
OPRK1,-9.84,0.10,0.370,0.006
PKM2,-11.39,0.08,0.442,0.004
PPARG,-8.69,0.10,0.326,0.007
TP53,-7.05,0.09,0.288,0.005
VDR,-11.07,0.04,0.409,0.002
