receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-9.84,0.21,0.393,0.005
ALDH1,-9.93,0.11,0.357,0.004
ESR_ago,-9.99,0.11,0.346,0.002
ESR_ant,-9.72,0.14,0.344,0.002
FEN1,-6.92,0.06,0.241,0.001
GBA,-8.48,0.06,0.310,0.002
IDH1,-9.49,0.13,0.351,0.003
KAT2A,-8.53,0.11,0.310,0.003
MAPK1,-8.22,0.15,0.298,0.002
MTORC1,-9.89,0.06,0.346,0.004
OPRK1,-9.61,0.11,0.349,0.001
PKM2,-10.96,0.18,0.405,0.002
PPARG,-8.53,0.07,0.307,0.002
TP53,-7.07,0.06,0.271,0.001
VDR,-10.86,0.11,0.381,0.002
