receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-10.85,0.10,0.401,0.006
ALDH1,-10.69,0.09,0.380,0.007
ESR_ago,-10.44,0.05,0.361,0.003
ESR_ant,-10.27,0.04,0.361,0.004
FEN1,-7.47,0.02,0.247,0.004
GBA,-9.27,0.06,0.330,0.004
IDH1,-10.40,0.08,0.368,0.002
KAT2A,-9.41,0.04,0.327,0.003
MAPK1,-8.92,0.05,0.305,0.002
MTORC1,-10.84,0.03,0.368,0.002
OPRK1,-10.34,0.07,0.359,0.004
PKM2,-11.98,0.12,0.427,0.003
PPARG,-9.40,0.05,0.317,0.002
TP53,-7.90,0.10,0.287,0.008
VDR,-11.62,0.13,0.393,0.003
