receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-12.16,0.42,0.486,0.019
ALDH1,-12.36,0.04,0.459,0.008
ESR_ago,-11.45,0.05,0.422,0.008
ESR_ant,-11.68,0.21,0.451,0.007
FEN1,-7.71,0.12,0.285,0.006
GBA,-10.33,0.09,0.39,0.006
IDH1,-11.76,0.28,0.442,0.004
KAT2A,-10.08,0.1,0.378,0.005
MAPK1,-9.64,0.09,0.365,0.007
MTORC1,-12.28,0.26,0.421,0.008
OPRK1,-11.55,0.12,0.459,0.013
PKM2,-13.65,0.09,0.543,0.005
PPARG,-10.18,0.08,0.363,0.006
TP53,-8.51,0.2,0.336,0.008
VDR,-13.36,0.12,0.465,0.009
