receptor,vina_mean,vina_stdev,eff_mean,eff_stdev
ADRB2,-8.03,0.26,0.274,0.041
ALDH1,-8.81,0.21,0.272,0.006
ESR_ago,-8.88,0.13,0.317,0.005
ESR_ant,-8.52,0.16,0.289,0.020
FEN1,-6.36,0.09,0.196,0.003
GBA,-7.60,0.09,0.244,0.013
IDH1,-8.74,0.08,0.281,0.016
KAT2A,-7.64,0.38,0.294,0.042
MAPK1,-7.33,0.14,0.226,0.004
MTORC1,-9.30,0.45,0.316,0.035
OPRK1,-8.70,0.36,0.298,0.039
PKM2,-9.55,0.14,0.296,0.005
PPARG,-7.47,0.34,0.253,0.031
TP53,-5.34,0.23,0.211,0.031
VDR,-10.98,0.57,0.359,0.015
